timestamp,normU,maxDeltaAlpha,interfaceHeightMaxRel,interfaceHeightMinRel
0.365709,0.000301744609787,0.001234,-0.000693830141741,-0.000722818164227
0.36643,0.000295529934413,0.002641,-0.000695149320975,-0.000722174485346
0.367041,0.000292217804437,0.001777,-0.000695462765651,-0.00072186310131
0.367576,0.000288642372279,0.001739,-0.000696312806986,-0.00072270735568
0.368122,0.000283841309986,0.002103,-0.000695957541115,-0.000723544937592
0.368733,0.000281507364823,0.002166,-0.000696979159239,-0.000724221470986
0.369343,0.000279441916561,0.002687,-0.000696893476118,-0.000725576644289
0.369871,0.000277113937204,0.001415,-0.000696946623179,-0.000727017274301
0.370405,0.000274490848288,0.002112,-0.00069724912192,-0.000727524230683
0.371045,0.000272203886362,0.00206,-0.000697803740519,-0.000727387133717
0.37159,0.000270608453486,0.001786,-0.000698497177788,-0.000728805868979
0.372401,0.000266415123427,0.002302,-0.000699685866276,-0.000729355745843
0.372793,0.000264797601011,0.001677,-0.000700386227095,-0.000729509539886
0.373519,0.000263271571693,0.001443,-0.000701884719361,-0.000730672786808
0.374115,0.000262559831301,0.0013954,-0.000701974863214,-0.000731122606563
0.374733,0.00026464684654,0.002069,-0.000702389945161,-0.000731671603395
0.375507,0.000261958188501,0.003289,-0.00070288820142,-0.000732014477718
0.376121,0.000262458940695,0.000971,-0.000702725388826,-0.000732252898785
0.376679,0.000261939722065,0.0024037,-0.000701745176855,-0.000734389966724
0.377327,0.000263489725368,0.0017986,-0.000702104682843,-0.000732657485614
0.377827,0.000264616622168,0.00167,-0.00070389274494,-0.00073277222697
0.378547,0.000261569694258,0.0033285,-0.000705159521407,-0.000733264492204
0.378923,0.000261309401924,0.002784,-0.000704990034162,-0.000733107751628
0.379615,0.000264643064886,0.002858,-0.000705004960035,-0.000733649845545
0.380056,0.000265715051644,0.001162,-0.000704528162836,-0.000734226911623
0.380722,0.000269727409434,0.001312,-0.000703991050841,-0.000733371361614
0.381225,0.000271962967407,0.00231,-0.000703501453857,-0.00073251379213
0.38184,0.000274004375746,0.0021973,-0.000703344203871,-0.000731890895785
0.382477,0.000277526957122,0.0020679,-0.000702630031505,-0.000732340817611
0.382957,0.000277353780177,0.001676,-0.000702926754013,-0.000731008757466
0.383664,0.000277644093535,0.002172,-0.000702350276206,-0.000730667038976
0.384204,0.000276865747588,0.002256,-0.000701733367508,-0.000729960005962
0.384743,0.000277310377337,0.002298,-0.000701812806484,-0.000729046585047
0.385424,0.000280788944029,0.002372,-0.000701395064541,-0.000728706630215
0.386167,0.000278289039076,0.001653,-0.000701234956863,-0.000728737011724
0.386606,0.000278377046644,0.001507,-0.00070201241804,-0.000728511127389
0.387233,0.000277927540489,0.002181,-0.000700990929401,-0.000728358110722
0.387888,0.000277172692621,0.00215,-0.000702054261305,-0.000729119442879
0.388336,0.000276184078591,0.001095,-0.000702820726748,-0.000728633706327
0.389029,0.000279027271449,0.001579,-0.000702120773682,-0.000728604330908
0.389462,0.000279001266377,0.001091,-0.000701781676596,-0.000728702579194
0.39015,0.000278331261878,0.001999,-0.000701275794882,-0.000728188820528
0.390555,0.0002808815316,0.001102,-0.000701109196435,-0.000728486810293
0.391201,0.000287244729342,0.001138,-0.000700419602855,-0.000729113877761
0.39172,0.000287065805948,0.001354,-0.000700161147979,-0.000728796756116
0.39247,0.000283077345085,0.001541,-0.000699693414184,-0.000727649105395
0.392885,0.000282751437761,0.001517,-0.000700052339037,-0.00072868637475
0.393548,0.000281960527446,0.001725,-0.000700234391295,-0.00072751306136
0.394174,0.000282565037441,0.0022154,-0.000700235468318,-0.000729757058379
0.394676,0.000283943784263,0.001913,-0.00070038730377,-0.000729468391673
0.395376,0.000280206251448,0.002506,-0.000699917639614,-0.000729729776293
0.395837,0.000280195878977,0.002028,-0.000701161869433,-0.000730158421172
0.396493,0.000280187132629,0.001985,-0.000701316629348,-0.00073137569266
0.397082,0.00028033384711,0.002268,-0.000701654988849,-0.000732237021342
0.397715,0.000279529155668,0.0024776,-0.000700525097728,-0.000732556975249
0.398253,0.000280025157976,0.003104,-0.000700243007406,-0.000732226771052
0.398827,0.000278610478281,0.001169,-0.000699197150974,-0.000732293594759
0.399446,0.000280562001682,0.002836,-0.000699520860286,-0.000734246421307
0.400166,0.000279485064486,0.002661,-0.000701868620421,-0.000734944115007
0.40075,0.000281017074677,0.0020919,-0.000703624435748,-0.000734689115138
0.40129,0.000283707263142,0.0014539,-0.000704191872621,-0.000734270932282
0.401897,0.000282572572213,0.0019099,-0.000704031649427,-0.000732705774883
0.402537,0.000283390174661,0.001523,-0.000704307199357,-0.000733335072951
0.402931,0.000285104462621,0.0009386,-0.000703940831928,-0.000733391108643
0.403581,0.00028462354186,0.001333,-0.000703603049913,-0.000732325546077
0.404174,0.000285056653767,0.000922,-0.000703032757289,-0.000731767682591
0.404855,0.000288136945053,0.0019129,-0.000702935320825,-0.000730658064144
0.405271,0.000290124681188,0.0014348,-0.00070203173078,-0.000730535928323
0.406047,0.000291854549833,0.001166,-0.000701421922895,-0.000731196643545
0.406511,0.000294221641079,0.0014339,-0.000701400436334,-0.000730528363093
0.407083,0.000296043953655,0.001114,-0.0007011210215,-0.000730067554716
0.407718,0.000297691146072,0.001764,-0.000699913328595,-0.000729922837665
0.408428,0.000294120377299,0.001438,-0.00069973762093,-0.000729808788806
